PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2005,40,221,201,X,54,X,23,499,35429,108,1.40845,1.78303
2005,41,254,179,X,56,X,17,506,35136,113,1.44012,1.91206
2005,42,214,171,X,61,X,18,464,38564,113,1.20319,1.89323
2005,43,204,245,X,73,X,23,545,42105,118,1.29438,2.09899
2005,44,254,325,X,129,X,46,754,45664,131,1.65119,2.37274
2005,45,236,296,X,158,X,46,736,45206,131,1.6281,1.94049
2005,46,221,289,X,132,X,29,671,45523,133,1.47398,1.74644
2005,47,208,206,X,130,X,37,581,33222,132,1.74884,1.76066
2005,48,306,375,X,136,X,46,863,43243,138,1.9957,2.49288
2005,49,282,325,X,122,X,41,770,42106,140,1.82872,2.32099
2005,50,289,336,X,119,X,38,782,40690,133,1.92185,2.28306
2005,51,291,336,X,131,X,51,809,36410,133,2.22192,2.56791
2005,52,303,377,X,158,X,55,893,29956,130,2.98104,3.16482
2006,1,280,383,X,137,X,54,854,35769,141,2.38754,2.53195
2006,2,316,527,X,131,X,38,1012,44363,141,2.28118,2.73449
2006,3,337,556,X,120,X,39,1052,42076,142,2.50024,2.91394
2006,4,283,585,X,173,X,45,1086,45187,137,2.40335,2.54623
2006,5,239,577,X,157,X,41,1014,43456,136,2.33339,2.6698
2006,6,323,673,X,224,X,53,1273,47643,136,2.67196,3.15276
2006,7,270,598,X,202,X,37,1107,42603,131,2.59841,2.82551
2006,8,285,613,X,187,X,71,1156,44064,138,2.62346,2.6548
2006,9,252,463,X,255,X,64,1034,42276,129,2.44583,2.9737
2006,10,275,821,X,248,X,63,1407,46313,128,3.03802,2.99198
2006,11,280,654,X,186,X,47,1167,43754,131,2.66718,2.59824
2006,12,223,617,X,183,X,69,1092,41636,123,2.62273,2.37755
2006,13,188,492,X,147,X,56,883,40878,117,2.16009,2.1756
2006,14,85,238,X,103,X,34,460,38127,110,1.20649,1.27704
2006,15,110,269,X,86,X,27,492,31481,107,1.56285,1.47611
2006,16,93,196,X,69,X,29,387,30348,104,1.27521,1.48445
2006,17,81,187,X,62,X,12,342,33153,97,1.03158,1.36229
2006,18,72,107,X,45,X,22,246,29885,89,0.823155,1.14389
2006,19,69,126,X,45,X,18,258,29436,86,0.876478,1.18152
2006,20,49,105,X,52,X,19,225,27489,78,0.818509,0.992981
2006,21,61,92,X,43,X,13,209,25226,67,0.82851,1.10256
2006,22,46,57,X,22,X,3,128,15938,47,0.803112,0.984447
2006,23,37,26,X,12,X,1,76,18393,45,0.413201,0.433092
2006,24,39,48,X,9,X,2,98,17966,46,0.545475,0.728582
2006,25,44,34,X,5,X,2,85,17101,45,0.497047,0.626736
2006,26,17,17,X,8,X,1,43,15102,44,0.28473,0.277806
2006,27,31,29,X,11,X,0,71,13821,40,0.513711,0.561693
2006,28,38,19,X,11,X,4,72,16752,40,0.429799,0.518059
2006,29,16,7,X,9,X,0,32,16205,38,0.19747,0.202597
2006,30,15,8,X,8,X,0,31,15320,37,0.20235,0.209716
2006,31,15,13,X,8,X,0,36,14502,33,0.248242,0.252015
2006,32,17,14,X,6,X,2,39,14422,32,0.27042,0.391186
2006,33,17,6,X,2,X,2,27,15064,33,0.179235,0.198087
2006,34,9,10,X,7,X,0,26,14234,30,0.182661,0.174523
2006,35,13,8,X,7,X,1,29,15010,31,0.193205,0.183104
2006,36,6,9,X,9,X,1,25,13384,29,0.18679,0.2046
2006,37,17,10,X,11,X,2,40,15275,29,0.261866,0.329696
2006,38,14,18,X,11,X,2,45,16016,30,0.280969,0.254933
2006,39,18,16,X,12,X,2,48,16683,32,0.287718,0.301514
